source_index,target_index,source_cell_type,target_cell_type,distance_um,edge_cost,distance_decay_attention
2428,2429,epithelial,epithelial,11.969216,0.4013995826244354,0.72498465
2082,4214,epithelial,epithelial,10.477764,0.351242333650589,0.7547335
6598,958,epithelial,epithelial,10.46506,0.35120272636413574,0.75469947
4846,4838,fibroblast,fibroblast,21.008055,0.7018539309501648,0.57018167
5359,3255,epithelial,epithelial,10.036835,0.33642977476119995,0.7637479
1256,5918,epithelial,epithelial,16.424725,0.5562106966972351,0.6397278
1986,1987,epithelial,epithelial,11.03764,0.3707481324672699,0.74292225
4352,2062,epithelial,epithelial,10.379382,0.35025179386138916,0.7549861
1836,1843,epithelial,epithelial,13.139404,0.4516447186470032,0.69485736
2025,2047,epithelial,epithelial,10.411414,0.3493081033229828,0.7558603
1586,1582,epithelial,epithelial,10.429102,0.3492165803909302,0.75601864
1882,1886,epithelial,epithelial,5.503471,0.18467316031455994,0.8624455
1443,6704,epithelial,epithelial,10.317616,0.3468765616416931,0.7572268
1459,1455,epithelial,epithelial,10.336893,0.34676527976989746,0.75740844
1040,1043,epithelial,epithelial,10.312748,0.3465350866317749,0.75746083
6462,1250,epithelial,epithelial,17.64479,0.6023207902908325,0.6158888
4358,2492,epithelial,epithelial,14.35829,0.48385438323020935,0.6783225
411,412,epithelial,epithelial,11.048824,0.37012994289398193,0.7434371
2066,4376,epithelial,epithelial,15.331729,0.517941415309906,0.65985847
1984,1959,epithelial,epithelial,10.191479,0.3428756296634674,0.7596234
2151,2149,epithelial,epithelial,6.890404,0.23309017717838287,0.8293159
2014,2017,epithelial,epithelial,10.81749,0.36704695224761963,0.7445835
5576,1695,epithelial,epithelial,11.737316,0.3952159285545349,0.7283547
2228,2290,epithelial,epithelial,10.176453,0.34225374460220337,0.76001984
1077,6420,epithelial,epithelial,16.263626,0.548178493976593,0.64419466
4380,4381,epithelial,epithelial,10.17805,0.34188947081565857,0.76030487
1997,4512,epithelial,epithelial,10.073975,0.3409649431705475,0.7604803
1403,1297,epithelial,epithelial,10.261394,0.3452322483062744,0.7581887
4068,4071,fibroblast,fibroblast,20.334167,0.6780620813369751,0.5812926
3483,3467,fibroblast,fibroblast,20.298538,0.676939845085144,0.58180714
5460,5452,epithelial,epithelial,10.2734585,0.3461611568927765,0.7575457
6397,6396,epithelial,epithelial,10.035556,0.33811572194099426,0.7624548
6261,6260,epithelial,epithelial,10.704652,0.3594323396682739,0.7497106
4235,4237,epithelial,epithelial,11.828168,0.40639981627464294,0.7206906
701,398,epithelial,epithelial,11.290391,0.39013761281967163,0.729885
2490,2401,epithelial,epithelial,11.054596,0.3718142807483673,0.7422145
3637,326,epithelial,epithelial,12.385926,0.4230107069015503,0.71145874
5135,5137,epithelial,epithelial,12.813084,0.43045780062675476,0.70819396
685,684,epithelial,epithelial,9.983275,0.33641892671585083,0.7634835
5186,5187,fibroblast,epithelial,12.952267,0.08634844422340393,1.0
1178,1200,epithelial,epithelial,10.342648,0.3469151258468628,0.757324
3718,3721,fibroblast,fibroblast,20.087603,0.6697551012039185,0.58517885
4551,694,epithelial,epithelial,9.883966,0.33479833602905273,0.7642157
4218,4223,epithelial,epithelial,14.099421,0.47695550322532654,0.6818406
73,4686,epithelial,epithelial,9.907516,0.3334011435508728,0.76540434
1297,1298,epithelial,epithelial,9.86969,0.33283504843711853,0.76564467
3124,6781,epithelial,epithelial,9.844568,0.3325949013233185,0.7657003
5387,5389,epithelial,epithelial,10.460397,0.3536674678325653,0.7528182
6216,6220,epithelial,epithelial,9.862351,0.3317424952983856,0.76644415
1833,884,epithelial,epithelial,12.260061,0.41293710470199585,0.7180591
4308,4510,fibroblast,epithelial,12.827373,0.0855158194899559,1.0
3661,3660,fibroblast,fibroblast,19.865353,0.6624318361282349,0.58860725
2342,2340,epithelial,epithelial,10.208334,0.34316641092300415,0.7594879
5459,5460,epithelial,epithelial,9.801759,0.3301941752433777,0.7673217
1524,6666,epithelial,epithelial,9.830912,0.3301011621952057,0.76754224
951,6563,epithelial,epithelial,9.828073,0.32987290620803833,0.76770294
6414,1077,epithelial,epithelial,9.836086,0.3294921815395355,0.7680363
2154,4824,epithelial,epithelial,12.697645,0.4266335666179657,0.7103606
3620,454,fibroblast,epithelial,29.595644,0.6013681888580322,0.66760147
6327,1490,epithelial,epithelial,10.706212,0.36030149459838867,0.74906707
1255,1265,epithelial,epithelial,19.268023,0.6576570272445679,0.58907396
3091,3092,epithelial,epithelial,8.851672,0.2976994514465332,0.78766036
2106,2104,epithelial,epithelial,10.455716,0.35088127851486206,0.7548951
3102,3101,epithelial,epithelial,9.72879,0.3270614743232727,0.76935494
492,512,epithelial,epithelial,12.263281,0.4125785231590271,0.71833205
1554,1549,epithelial,epithelial,9.675732,0.32487577199935913,0.77076566
845,5917,epithelial,epithelial,9.765006,0.3283768594264984,0.7685291
1464,1471,epithelial,epithelial,9.64215,0.3244965672492981,0.7708854
854,864,epithelial,epithelial,9.696192,0.324326753616333,0.7712942
997,1005,epithelial,epithelial,9.65329,0.32393530011177063,0.7713755
1189,1178,epithelial,epithelial,9.648992,0.3237202763557434,0.77151924
2828,2668,epithelial,epithelial,13.381148,0.45148807764053345,0.6960871
3151,2694,epithelial,epithelial,9.60654,0.3223429322242737,0.772364
6926,6923,epithelial,epithelial,9.587191,0.32209476828575134,0.77245605
1990,1992,epithelial,epithelial,9.578947,0.3216380178928375,0.7727665
2228,4282,epithelial,epithelial,15.04232,0.5126610994338989,0.6620733
1603,1599,epithelial,epithelial,9.560134,0.3208657503128052,0.7732665
847,5917,epithelial,epithelial,9.551681,0.32063817977905273,0.77339894
2437,6994,epithelial,epithelial,7.485812,0.2511543333530426,0.81770885
5521,3292,epithelial,epithelial,12.734218,0.42921337485313416,0.7087031
2816,4997,epithelial,epithelial,12.434951,0.4170587658882141,0.7159399
1738,6210,epithelial,epithelial,10.430693,0.35065674781799316,0.75493866
2344,2342,epithelial,epithelial,9.491316,0.3182494640350342,0.7749366
2017,2008,epithelial,epithelial,9.444061,0.31814512610435486,0.77477336
3139,6920,epithelial,epithelial,15.113169,0.5111097097396851,0.66341454
5363,5516,epithelial,epithelial,12.378671,0.41942718625068665,0.7139783
412,409,epithelial,epithelial,9.45069,0.31750109791755676,0.77530676
2445,2447,epithelial,epithelial,9.4519415,0.31744545698165894,0.77535635
2960,5537,epithelial,epithelial,9.420293,0.3173106908798218,0.7752973
6260,6241,epithelial,epithelial,9.382851,0.3167259395122528,0.77555716
4775,482,epithelial,epithelial,9.371142,0.3156874179840088,0.7763024
