cell_index,cell_id,cell_type,x_centroid,y_centroid,node_prize
6137,mhgldien-1,fibroblast,897.9402465820312,696.1680908203125,3.2202173471450806
6138,mhhihdjh-1,immune,907.4891357421876,697.0645141601562,0.0
6139,mhiablho-1,fibroblast,875.0020751953125,689.6779174804688,2.239130973815918
6140,mhikdlgp-1,epithelial,874.0904541015625,699.1708374023438,1.8712166547775269
6141,mhiodkge-1,fibroblast,868.786865234375,668.3245849609375,2.6791932582855225
6143,mhjobmdf-1,fibroblast,891.8618774414062,678.8023681640625,1.87925124168396
6144,mhlgldgi-1,fibroblast,899.9285888671875,672.122802734375,2.543966054916382
6145,mhmgcndg-1,fibroblast,883.985595703125,670.9273071289062,2.3928513526916504
6147,mhmlkiki-1,endothelial,879.0353393554688,625.3107299804688,1.7362561225891113
6148,mhmlmnch-1,fibroblast,905.9756469726562,577.1571044921875,3.221810817718506
6149,mhneahei-1,immune,882.7354125976562,641.5271606445312,1.7358992099761963
6150,mhnfakga-1,fibroblast,907.3189086914062,640.280517578125,3.5440725088119507
6151,mhnhakio-1,immune,874.2474365234375,495.5835266113281,1.6002428531646729
6153,mhogaakd-1,epithelial,879.6681518554688,461.5348205566406,0.554065465927124
6154,mhogcecd-1,epithelial,881.1480712890625,470.8140563964844,1.4199652671813965
6155,mhpjkknb-1,epithelial,876.6876831054688,455.1661376953125,0.6479916572570801
6159,miadliha-1,fibroblast,871.44921875,530.7030029296875,2.840235710144043
6163,midajmjo-1,epithelial,905.2412109375,532.115478515625,0.3439684212207794
6166,mieomnmb-1,fibroblast,883.2161254882812,491.1380920410156,0.595466136932373
6169,migcinjl-1,epithelial,891.2822875976562,459.6245422363281,0.9804241061210632
6173,miijaogd-1,epithelial,894.4297485351562,475.6626281738281,0.2613684833049774
6174,miildddo-1,epithelial,890.1585083007812,488.1321105957031,0.6275851726531982
6176,mijlamka-1,fibroblast,914.3141479492188,611.8456420898438,2.9136417508125305
6177,mijobhlm-1,fibroblast,917.4796752929688,639.450439453125,2.820995807647705
6178,mikkglao-1,fibroblast,915.2902221679688,626.0509033203125,3.3596644401550293
6179,milakooh-1,epithelial,933.5015258789062,480.9457702636719,0.4272647202014923
6180,milhfkok-1,epithelial,945.72412109375,482.0357666015625,0.6237460374832153
6182,mimempdn-1,epithelial,936.8995361328124,488.2669982910156,1.8078029155731201
6183,mimicbgd-1,epithelial,953.43212890625,473.4989929199219,1.731715440750122
6185,mindpgab-1,fibroblast,926.732421875,580.7906494140625,2.696704626083374
6186,minmbelj-1,fibroblast,917.2256469726562,574.491455078125,3.668771743774414
6190,mipplkko-1,epithelial,875.4932861328125,364.8083190917969,0.5678693652153015
6202,mjgkpnim-1,epithelial,918.3701171875,404.5536193847656,0.4177730679512024
6210,mjjpegcf-1,epithelial,891.3258056640625,424.3798522949219,0.0
6211,mjjppioo-1,epithelial,899.7637329101562,423.2494201660156,0.3710135817527771
6216,mjmlffem-1,epithelial,943.1114501953124,406.23388671875,0.585829496383667
6220,mjobljeo-1,epithelial,951.057861328125,412.0751647949219,0.0
6230,mkdobngp-1,epithelial,1040.5435791015625,238.21473693847656,0.4416874945163727
6232,mkelhcpo-1,epithelial,1042.837646484375,341.15447998046875,0.7020846605300903
6235,mkfaibih-1,epithelial,1050.349609375,260.7340393066406,0.0
6238,mkgabdlj-1,epithelial,1036.95849609375,383.9298400878906,0.0
6241,mkgmiion-1,epithelial,996.2539672851562,313.6288757324219,0.41152113676071167
6251,mklopfep-1,epithelial,1041.5084228515625,377.7614135742188,0.4967176914215088
6260,mkpjhaji-1,epithelial,986.9910278320312,312.13360595703125,0.0
6261,mkpplehe-1,epithelial,980.9992065429688,303.26300048828125,0.5436826944351196
6271,mldamgnk-1,immune,975.793701171875,595.0045166015625,2.6778903007507324
6272,mldccmhj-1,fibroblast,969.1033935546876,630.4754638671875,2.775923013687134
6273,mledmgim-1,fibroblast,964.3179931640624,608.2045288085938,0.704934298992157
