sender,receiver,ligand,receptor,compositional_observed_score,compositional_null_mean,compositional_null_std,compositional_empirical_pvalue,compositional_z_score,compositional_significant,n_qualifying_edges,edge_observed_score,edge_null_mean,edge_null_std,edge_empirical_pvalue,edge_z_score,edge_significant,verdict_flip,soft_observed_score,soft_null_mean,soft_null_std,soft_empirical_pvalue,soft_z_score,filtered_z_score
immune,fibroblast,CXCL12,CXCR4,1.986440811387804,1.4849462385177612,0.0613875209217034,0.0,8.169324405682927,True,962,5.80336943195573,2.3334452764379483,0.4628408867655963,0.0,7.497013022695873,True,False,5.823604302297735,2.3431135109069836,0.4648914488259358,0.0,7.486674147654441,5.479187795309239
epithelial,immune,CXCL12,CXCR4,1.9472474762969456,1.4808171236515044,0.0647179972159646,0.0,7.207119699470278,True,334,1.75364265760699,2.3249735365287405,0.3551519523718196,0.944,-1.6086941803535584,False,True,1.771858994170239,2.3362902736032773,0.35815900983007115,0.942,-1.5759237208658614,-0.9985245323495722
immune,epithelial,CXCL12,CXCR4,1.9016144820054093,1.4865857018232345,0.053764049948427,0.0,7.719447857449166,True,360,2.611349435813482,2.358490061304433,0.299095982709464,0.192,0.8454121390011169,False,True,2.617830404345289,2.3697269579908427,0.3022710744802722,0.198,0.8207978443886427,0.3486900809387802
epithelial,endothelial,CXCL12,CXCR4,1.3654650803961976,1.4739807254076005,0.1737232611250478,0.73,-0.6246466035040187,False,117,1.1316041951739195,2.3165552682324475,0.9627274209583552,0.914,-1.2308271762727587,False,False,1.1372836064468312,2.326641864691567,0.9735236878709734,0.914,-1.221704487587536,-1.3628598968143968
epithelial,fibroblast,CXCL12,CXCR4,1.1317551414351952,1.479697941660881,0.0309174698048212,1.0,-11.253922213629128,False,2276,1.4847231135701264,2.329956608298,0.1608605234850928,1.0,-5.254449484656828,False,False,1.4713780941536059,2.3416895853027433,0.16262463868523253,1.0,-5.351658261536036,-5.979029962585336
epithelial,epithelial,CXCL12,CXCR4,1.0469288120528006,1.4813374049663544,0.0112069870232454,1.0,-38.76229998415323,False,29403,0.4406317882090574,2.332080839211504,0.0685989090367648,1.0,-27.57258209439957,False,False,0.4366837561375331,2.3435582306451317,0.06924515295766938,1.0,-27.538020974165516,-22.94671187032648
immune,fibroblast,CD274,PDCD1,0.1157207431893705,0.0182171234919223,0.0102324949855025,0.0,9.52882164473002,True,962,0.0,0.0,0.0,1.0,0.0,False,True,0.0,0.0,0.0,1.0,0.0,0.0
immune,epithelial,CD274,PDCD1,0.1094637729704314,0.0182725054713082,0.0101056506706093,0.0,9.023789805473712,True,360,0.0,0.0,0.0,1.0,0.0,False,True,0.0,0.0,0.0,1.0,0.0,0.0
fibroblast,fibroblast,CD274,PDCD1,0.0393495433490845,0.0183805266239214,0.0048187619290001,0.0,4.351536148521415,True,4702,0.0,0.0,0.0,1.0,0.0,False,True,0.0,0.0,0.0,1.0,0.0,0.0
fibroblast,epithelial,CD274,PDCD1,0.0330925731301455,0.0184359086033073,0.0046616029613875,0.002,3.1441254538922943,True,2586,0.0,0.0,0.0,1.0,0.0,False,True,0.0,0.0,0.0,1.0,0.0,0.0
epithelial,fibroblast,CD274,PDCD1,0.0128482233392973,0.017961209698813,0.0019612231301241,1.0,-2.607039597372093,False,2276,0.0,0.0,0.0,1.0,0.0,False,False,0.0,0.0,0.0,1.0,0.0,0.0
epithelial,epithelial,CD274,PDCD1,0.0065912531203582,0.0180165916781988,0.0013996803847366,1.0,-8.162819656853822,False,29403,0.0,0.0,0.0,1.0,0.0,False,False,0.0,0.0,0.0,1.0,0.0,0.0
